"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"franck",0,0,4,0,17,21,15,21,6
"rose",2,0,7,16,4,12,10,8,8
"antoine",6,9,6,6,18,14,3,16,22
