"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"antoine",12,3,0,0,4,14,19,16,12
"emilie",6,6,0,16,3,4,0,18,15
"rose",14,0,17,6,10,10,10,10,6
