"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"mateo",8,0,9,14,4,16,10,3,11
"rose",0,7,8,6,9,12,8,20,7
"antoine",20,0,0,15,8,4,3,2,16
