"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"rose",6,0,0,0,3,0,17,13,32
"franck",0,7,0,20,18,20,12,8,11
"antoine",0,26,0,15,12,9,10,8,18
