"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"baltazar",19,6,0,16,12,12,9,7,21
"gabriel",6,2,4,10,6,6,18,9,14
"franck",2,10,9,7,0,10,13,10,11
"rose",1,0,20,14,21,8,6,4,18
