"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"rose",0,8,4,15,16,0,7,18,17
"franck",4,0,6,5,4,19,6,20,6
"antoine",0,0,9,8,10,12,10,0,13
