"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"rose",6,8,3,10,0,18,0,16,4
"franck",10,6,6,2,9,0,3,8,24
"valentine",0,2,0,9,9,13,6,19,7
