"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"emilie",0,0,0,0,18,8,5,13,21
"rose",0,0,6,8,8,0,15,9,17
"antoine",14,0,6,4,19,12,4,0,24
