"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","rose",0,0,0,0,0,12,0,10,17
"2","emilie",9,0,0,0,7,0,18,0,10
"3","antoine",0,9,20,10,8,24,4,3,8
