"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"mateo",0,2,0,9,4,14,0,6,7
"rose",3,2,0,0,15,18,5,21,15
"franck",6,4,0,7,4,26,15,15,8
"antoine",8,9,4,8,12,9,10,20,17
