"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","rose",9,13,16,9,6,2,12,12,3
"2","franck",0,3,10,0,0,9,20,10,18
"3","antoine",3,7,4,8,0,24,14,12,11
