"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"valentine",0,0,2,0,2,12,9,9,17
"rose",0,0,7,9,4,8,0,6,16
"franck",0,3,0,13,15,12,9,4,9
