"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"franck",7,4,3,8,12,10,18,15,12
"rose",2,0,0,6,4,0,0,6,15
"antoine",0,0,10,0,12,8,0,24,0
