"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","mateo",12,19,7,15,9,4,0,12,4
"2","rose",0,0,2,9,7,8,15,18,4
"3","antoine",24,14,14,7,0,0,5,13,21
