"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"franck",2,0,0,0,10,8,18,10,12
"antoine",3,0,0,20,15,12,0,5,11
"rose",2,19,3,0,9,0,10,24,3
