"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"franck",4,0,2,9,0,6,14,0,5
"rose",0,4,4,6,12,12,10,15,8
"valentine",0,7,0,9,6,6,18,8,7
