"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"samuel",2,0,0,6,6,4,0,7,19
"stephane",0,0,2,10,2,8,4,16,11
"christelle",18,9,0,20,24,10,5,0,6
"oceane",0,0,6,6,0,12,6,20,1
"antoine",0,0,0,0,2,19,12,6,15
