"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","franck",0,8,0,10,0,16,12,6,8
"2","antoine",0,0,10,0,8,12,0,6,19
"3","rose",4,4,6,4,6,15,16,9,7
