"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","emilie",4,0,8,0,10,0,2,12,2
"2","antoine",6,0,0,0,0,6,6,28,6
"3","rose",3,0,0,8,0,0,4,20,10
