"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"rose",0,4,0,0,6,6,16,9,11
"valentine",10,21,7,10,15,6,0,2,11
"antoine",0,0,3,0,3,5,10,6,22
