"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"antoine",0,4,8,5,15,0,4,8,4
"valentine",0,3,0,10,1,6,9,21,11
"franck",0,10,2,0,13,9,0,16,13
"rose",0,3,6,12,9,12,18,12,6
