"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","baltazar",6,0,0,15,12,9,8,12,14
"2","gabriel",4,2,10,4,2,4,14,16,5
"3","franck",0,0,0,10,8,2,8,0,19
"4","rose",8,0,0,0,0,0,12,20,11
