"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","antoine",0,0,9,0,2,0,24,19,7
"2","rose",6,6,8,10,4,12,10,12,7
"3","franck",1,4,4,6,8,8,8,18,7
