"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"rose",0,3,0,12,0,12,20,4,16
"mateo",17,13,7,15,0,20,9,10,9
"antoine",6,0,16,8,4,0,20,0,14
