"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"gabriel",0,0,6,7,6,2,20,14,11
"alain",0,16,4,0,12,3,4,5,16
"franck",0,9,4,0,12,12,15,15,5
