"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"rose",8,0,0,6,12,4,10,18,0
"eve",3,2,16,10,3,0,10,14,18
"antoine",13,9,12,6,0,12,7,17,9
"valentine",4,2,0,0,20,12,4,19,3
