"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"franck",0,0,0,0,14,19,3,5,30
"eve",10,4,0,14,10,7,8,2,16
"mateo",0,6,0,0,28,20,6,0,0
"rose",10,18,6,2,9,9,6,3,9
"antoine",20,14,19,0,16,0,3,8,6
