"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","franck",3,0,0,0,0,8,20,8,8
"2","mateo",0,2,0,2,0,12,14,24,4
"3","rose",18,6,4,19,15,6,8,4,21
"4","antoine",0,0,9,6,7,6,17,16,19
