"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"rose",9,14,9,7,12,10,21,10,12
"emilie",0,0,14,12,6,9,0,0,26
"antoine",0,0,0,6,12,0,21,17,20
