"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"rose",0,0,2,0,10,15,8,13,9
"franck",0,0,4,6,12,0,12,19,3
"valentine",0,0,4,0,9,0,16,9,9
