"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","antoine",12,5,4,0,0,4,17,4,26
"2","emilie",20,5,0,8,0,0,6,10,14
"3","rose",9,3,7,8,6,6,14,18,17
