"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","franck",7,0,4,9,6,7,0,0,30
"2","rose",6,3,8,0,10,0,20,10,12
"3","antoine",26,9,0,0,0,19,0,2,14
