"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","mateo",24,15,0,18,12,4,8,0,17
"2","eve",15,8,12,4,18,9,9,19,18
"3","antoine",17,4,1,0,32,0,9,9,13
