"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"rose",0,9,14,15,12,8,6,12,11
"franck",6,0,5,0,8,8,14,10,19
"antoine",21,0,6,2,4,18,18,14,23
