"joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"mateo",0,0,3,8,7,24,6,16,4
"antoine",0,0,19,0,14,12,12,0,14
"rose",0,8,0,15,20,2,18,18,4
