"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","rose",0,9,7,3,18,21,6,0,7
"2","emilie",0,0,0,5,0,20,6,17,25
"3","antoine",10,10,0,8,6,10,21,0,18
