"","joueuse","C8","C7","C6","C5","C4","C3","C2","C1","CS"
"1","antoine",0,6,13,12,0,0,20,0,11
"2","emilie",16,0,15,18,21,2,0,5,2
"3","rose",5,12,18,0,20,14,9,3,13
